127.0.0.1, 2013-07-31 18:25:25, GET, /easyflow/static/js/web2py.js, HTTP/1.1, 304, 0.001079
127.0.0.1, 2013-07-31 18:25:25, GET, /easyflow/static/js/share.js, HTTP/1.1, 304, 0.000500
127.0.0.1, 2013-07-31 18:25:25, GET, /easyflow/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000866
127.0.0.1, 2013-07-31 18:25:25, GET, /easyflow/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000389
127.0.0.1, 2013-07-31 18:25:25, GET, /easyflow/static/images/twitter.png, HTTP/1.1, 304, 0.000657
127.0.0.1, 2013-07-31 18:25:25, GET, /easyflow/static/images/gplus-32.png, HTTP/1.1, 304, 0.000303
127.0.0.1, 2013-07-31 18:25:25, GET, /easyflow/static/images/facebook.png, HTTP/1.1, 304, 0.001327
127.0.0.1, 2013-07-31 18:30:30, GET, /easyflow/default/index, HTTP/1.1, 200, 0.063691
127.0.0.1, 2013-07-31 18:30:30, GET, /easyflow/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000892
127.0.0.1, 2013-07-31 18:30:30, GET, /easyflow/static/js/jquery.js, HTTP/1.1, 304, 0.000561
127.0.0.1, 2013-07-31 18:30:30, GET, /easyflow/static/js/web2py.js, HTTP/1.1, 304, 0.000805
127.0.0.1, 2013-07-31 18:30:30, GET, /easyflow/static/js/calendar.js, HTTP/1.1, 304, 0.001889
127.0.0.1, 2013-07-31 18:30:30, GET, /easyflow/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002998
127.0.0.1, 2013-07-31 18:30:30, GET, /easyflow/static/css/calendar.css, HTTP/1.1, 304, 0.003962
127.0.0.1, 2013-07-31 18:30:30, GET, /easyflow/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003429
127.0.0.1, 2013-07-31 18:30:30, GET, /easyflow/static/css/web2py.css, HTTP/1.1, 304, 0.002705
